,capex_kW,capex_kW,capex_kW,capex_kW,capex_kW,opex_kW_annual,opex_kW_annual,opex_kW_annual,opex_kW_annual,opex_kW_annual
,10,20,50,100,150,10,20,50,100,150
district_heating,934.00,493.00,228.00,140.00,111.00,16.99,15.41,13.91,13.53,13.40
wood_pellets,2111.64,1472.60,914.44,637.71,516.48,126.70,88.36,54.87,38.26,30.99
wood_chips,2894.22,1909.47,1101.92,726.99,570.00,188.12,124.12,71.62,47.25,37.05
firewood,882.93,882.93,560.77,560.77,560.77,34.60,34.60,18.60,18.60,18.60
geothermal_pump,3860.55,3135.74,2382.09,1934.86,1713.25,39.93,27.85,17.29,12.06,9.77
air_heat_pump,2482.35,2116.54,1714.35,1461.71,1331.56,38.40,22.83,11.48,6.83,5.04
groundwater,4183.36,3493.48,2752.92,2298.93,2068.91,40.70,26.67,15.25,9.99,7.80
gas_heating,908.86,555.60,289.89,177.21,132.88,19.53,11.06,5.22,2.96,2.12
oil_heating,1127.10,748.78,436.08,289.71,228.07,39.45,26.21,15.26,10.14,7.98
heating_rod,233.00,233.00,233.00,233.00,233.00,0.00,0.00,0.00,0.00,0.00
bhkw,4605.52,3954.14,3232.25,2473.71,2337.20,123.42,102.36,79.92,70.88,58.34
volatile_STH,1081.15,994.86,891.27,820.13,781.19,9.63,8.98,8.20,7.65,7.34
volatile_PV,1500.00,1300.00,1300.00,1100.00,1100.00,48.00,24.18,24.18,23.10,23.10
storage_heat,420.00,420.00,420.00,420.00,420.00,51.00,51.00,51.00,51.00,51.00
storage_lion,800.00,800.00,800.00,800.00,800.00,1.00,1.00,1.00,1.00,1.00
